,parcelid,county_code,state,county,tax_rate
0,11721753,6037.0,California,Los Angeles,0.012809290035734658
1,11289917,6037.0,California,Los Angeles,0.017045053782401693
2,11705026,6037.0,California,Los Angeles,0.015269617480199968
3,14269464,6059.0,California,Orange,0.011152993448849232
4,11446756,6037.0,California,Los Angeles,0.013063859583605638
5,11389003,6037.0,California,Los Angeles,0.012497052117263843
6,11967869,6037.0,California,Los Angeles,0.011914767153958072
7,11429175,6037.0,California,Los Angeles,0.013207726351289653
9,11921077,6037.0,California,Los Angeles,0.01816834588672601
10,11391972,6037.0,California,Los Angeles,0.021302654669267503
11,11743374,6037.0,California,Los Angeles,0.012394862711385233
12,17295416,6111.0,California,Ventura,0.01342475607358987
13,12870253,6037.0,California,Los Angeles,0.012098765432098766
14,11460552,6037.0,California,Los Angeles,0.011984873575993331
15,14236060,6059.0,California,Orange,0.012094379666434247
16,14365030,6059.0,California,Orange,0.010223603305785124
17,14008322,6059.0,California,Orange,0.014208140969162996
18,11552513,6037.0,California,Los Angeles,0.012304206907033969
19,12535098,6037.0,California,Los Angeles,0.012314905863395094
20,12443331,6037.0,California,Los Angeles,0.012152347567921103
22,11391577,6037.0,California,Los Angeles,0.01295518075316436
23,13880422,6059.0,California,Orange,0.01250176921564773
24,12814323,6037.0,California,Los Angeles,0.011857521595828611
25,10976131,6037.0,California,Los Angeles,0.0156840888066605
26,12057023,6037.0,California,Los Angeles,0.011008977093748668
27,11187927,6037.0,California,Los Angeles,0.01705178337758936
28,11451345,6037.0,California,Los Angeles,0.013389464594127804
29,10984661,6037.0,California,Los Angeles,0.014792808219178081
30,12196319,6037.0,California,Los Angeles,0.01956478392066678
31,11367981,6037.0,California,Los Angeles,0.013170719859124996
32,11312124,6037.0,California,Los Angeles,0.01843102487160936
34,13071085,6037.0,California,Los Angeles,0.013289430002816788
35,10732347,6037.0,California,Los Angeles,0.013996149376441815
36,10722858,6037.0,California,Los Angeles,0.012376139219142632
37,12114701,6037.0,California,Los Angeles,0.011770690871014617
38,13083743,6037.0,California,Los Angeles,0.012901432129994525
39,17086759,6111.0,California,Ventura,0.011329938112429086
40,13921492,6059.0,California,Orange,0.015392023745618743
